题干,答案
在实验中，以下哪种做法是错误的？,A
涉及生物安全性的动物实验，必须在哪一种实验室中进行？,C
下列哪项不是影响混合物爆炸极限的因素?,B
实验中用到很多玻璃器皿，容易破碎，为避免造成割伤应该注意什么？,D
使用易燃易爆的化学药品，不正确的操作是：,A
应如何简单辨认有味的化学药品？,C
在蒸馏低沸点有机化合物时应采取哪种方法加热？,B
下列有关使用漏电保护器的说法，哪种是正确的?                   ,A
"以下是酸灼伤的处理方法，其顺序为：
①以1～2％NaHCO3溶液洗。   
②立即用大量水洗
③送医院",B
表示危险化学品的急性毒性的LD50的单位是什么？,A
关于存储化学品说法错误的是：,C
氢氟酸有强烈的腐蚀性和危害性，皮肤接触氢氟酸后可出现疼痛及灼伤，随时间疼痛渐剧，皮肤下组织被破坏，这种破坏会传播到骨骼。下面哪个说法是错误的？,A
下列不属于易燃液体的是：,A
不是实验室常用于皮肤或普通实验器械的消毒液为？,A
以下有关实验室用电的注意事项中，不正确的是：,C
万用表使用完后，应将切换旋钮放在:,C
金属材料可以很好地屏蔽低频磁场。,错误
乙醚的爆炸极限是：1.9％～48％。,正确
苯、三硝基甲苯、二硫化碳、丙烯腈、四氯化碳、甲醛、苯胺、氯丙烯、溴甲烷、环氧氯丙烷、光气、一氧化碳等具有高毒性。,正确
汽油的爆炸极限是：7.6%～1.4%。,正确
接线时，要用合格的电源线，电源插头、插座。电源线接头要用绝缘胶布包好。,正确
火灾发生后，受到火势威胁时，要当机立断披上浸湿的衣物、被褥等向安全出口方向冲去。,正确
同学发现宿舍楼的电闸箱起火，可以用楼内的消火栓灭火。,错误
有易燃易爆危险品的实验室禁止使用明火。,正确
可将食物储藏在实验室的冰箱或冷柜内。,错误
乙炔气钢瓶的规定涂色为白色、氯气钢瓶为黄色、氢气钢瓶为绿色、氟化氢钢瓶为灰色、液氨钢瓶为黄色。,正确
"剧毒品管理应严格遵守“五双” 制度(即""双人保管、双人收发、双人使用、双人运输、双人双锁"")，精确计量和记录剧毒品的使用情况，防止被盗、丢失、误领、误用。如发现问题应立即报告保卫处、实验室与设备管理处和当地公安部门。",正确
危险废弃物是指有潜在的生物危险、可燃易燃、腐蚀、有毒、放射性的对人环境有害的一切废弃物。,正确
实验室安全事故的表现形式主要有：火灾、爆炸、中毒、灼伤、病原微生物感染、辐照和机电伤人等。,正确
生物实验中的一次性手套及沾染EB致癌物质的物品，可以丢弃在普通垃圾箱内。,错误
血压升高，目光无神，情绪烦躁，面色苍白等，如果是因锻炼造成的，则都是运动不足的征兆。,错误
轻微的肌肉拉伤或少量的肌肉纤维的断裂，应立即冷敷，局部加压包扎，抬高肢体。,正确
若被火场浓烟所困，应迅速起身跑出火场。,错误
可以将氢气与氧气混放在一个房间。,错误
生产、储存和使用危险化学品的单位，应当在生产、储存和使用场所设置报警装置。,正确
可以用普通的冰箱储藏易燃易爆的试剂。,错误
用低沸点溶剂洗涤过的滤饼，可直接放入烘箱干燥。,错误
做减压蒸馏时，如果没有梨形接收瓶，可用锥形瓶代替。,错误
腐蚀和刺激性药品，如强酸、强碱、氨水、过氧化氢、冰醋酸等，取用时尽可能戴上橡皮手套和防护眼镜，倾倒时，切勿直对容器口俯视，吸取时，应该使用橡皮球。开启有毒气体容器时应戴防毒用具。禁止手直接拿取上述物品。,正确
打开氨水、硝酸、盐酸等药品瓶封口时，应先盖上湿布，用冷水冷却后再开瓶塞，以防溅出，尤其在夏天更应注意。,正确
实验中的过量化学品应当返回其原来的试剂瓶中以免浪费。,错误
在实验室进行有机合成时，放热反应不能在密闭的玻璃容器中进行;对反应物进行加热时，也不能将玻璃容器密闭。,正确
隔离灭火法是将可燃物与引火源或氧气隔离开来，可防止火势继续扩大。,正确
实验室仪器设备用电或线路发生故障着火时，应立即（ ），并组织人员用灭火器进行灭火。,B
干粉灭火器适用于：,D
我国消防工作的方针是：,C
第一灭火力量是指单位起火部位的员工，在（）内自发形成的来火救援力量,A
根据《电动自行车安全技术规范》要求，电动车蓄电池标称电压应不大于（）,B
学生宿舍用电时要注意消防安全，下面说法错误的是（）,D
下列哪些部位应被列为学校消防安全重点部位？（）,D
灭火器有效性检查包括（）,D
以下哪种建筑可用作学生宿舍？（）,D
黄磷自燃应如何扑救：,C
实验室、宿舍禁止使用电热水壶、热得快。一般电热水壶的功率为：,D
造成触电事故的因素是：,A
进行危险物质、挥发性有机溶剂、特定化学物质或毒性化学物质等操作实验或研究，说法错误的是：,D
师生进入生化类实验室工作，一定要搞清楚   等位置，出现情况能做好相应的自救工作。,C
根据卫生部规定，人间传染的病原微生物按危害程度可分为四类，其中哪类危害程度最高？,A
"被火困在室内,如何逃生？",B
实验大楼安全出口的疏散门应：,B
过氧化酸、硝酸铵、硝酸钾、高氯酸及其盐、重铬酸及其盐、高锰酸及其盐、过氧化苯甲酸、五氧化二磷等是强氧化剂，使用时应注意：,D
室温较高时，有些试剂如氨水等，打开瓶塞的瞬间很易冲出气液流，应先如何处理，再打开瓶塞？,C
需要你将硫酸、氢氟酸、盐酸和氢氧化钠各一瓶从化学品柜搬到通风橱内，正确的方法是：,D
引发电气火灾的初始原因：,C
铝粉、保险粉自燃时如何扑救？,D
对于一些吸入或食入少量即能中毒至死的化学试剂，生物试验中致死量（LD50）在50mg/kg以下的称为剧毒化学试剂，以下哪个不是剧毒化学试剂：,D
一般将闪点在25℃以下的化学试剂列入易燃化学试剂，它们多是极易挥发的液体。以下哪种物质不是易燃化学试剂？,C
以下几种气体中，无毒的气体为：,A
移动式电动工具及其开关板（箱）的电源线必须采用：,C
长期搁置不用的手持电动工具，在使用前必须测量绝缘电阻，要求手持电动工具带电部分与外壳之间绝缘电阻不低于多少MΩ？,B
为了减少电击（触电）事故对人体的损伤，经常用到电流型漏电保护开关，其保护指标设置为≤30mAS。请从下列选项中选择其正确含义。,A
HCN进入机体，抑制呼吸酶作用，造成细胞内窒息，从而引起组织中毒性缺氧，全身性中毒症状。,正确
苯乙烯、甲醇、甲苯、二甲苯、三氯乙烯、苯酚等具有中等毒性。,正确
打开含有高压变压器或电容器的电子仪器的盖子是危险的。,正确
地线和零线的作用相同。,错误
可以用潮湿的手碰开关、电线和电器。,错误
突发性不可抗拒的雷电、水灾、地震、房屋垮塌等自然灾害事故发生后，应在领导小组的指挥下，马上组织疏散、抢救现场工作人员或进行人员自助自救，以确保人员的人身安全，作好善后工作。  ,正确
学生进入实验室学习、工作前应接受安全教育、培训，并通过考核。,正确
在开放实验室，外来人员可随便操作实验室仪器设备。,错误
使用剧毒药品时应该配备个人防护用具，做好应急援救预案。,正确
Hg通常经过皮肤和消化道进入人体。,错误
安装在危险品仓库的灯具应该是防爆型的。,正确
实验结束后，要关闭设备，断开电源，并将有关实验用品整理好。,正确
移动某些非固定安装的电气设备时(如电风扇，照明灯)，可以不必切断电源。,错误
进行需要戴防护眼镜的实验时，戴隐形眼镜的近视者可不戴防护眼镜。,错误
电炉、烘箱等用电设备在使用中，使用人员不得离开。,正确
学生、新员工进实验室之前要参加安全教育和培训，经培训、考核合格后方可进入实验室学习与工作；学生要在老师指导下开展实验研究。,正确
因实验室特殊要求，细胞培养房内用的气体钢瓶可用小推车等形式进行固定。,正确
实验室发现可燃气体泄漏，要迅速切断电源，打开门窗。,错误
剧毒品在取出实验使用量后可以不立即存入保险柜。,错误
出现肌肉痉挛（抽筋），常见的缓解法是拉长痉挛的肌肉，同时配合局部按摩和点压穴位等方法促进缓解。,正确
实验室进行蒸馏操作时，对于爆炸性物质或不稳定物质，须小心地蒸馏直到剩余少量残渣。,错误
实验室必须配备符合本室要求的消防器材，消防器材要放置在明显或便于拿取的位置。严禁任何人以任何借口把消防器材移作它用。,正确
在熟睡时，听到火警信号后正确的做法是：1、用手试一试门是否热，如是冷的，可开门逃生；2、准备好湿毛巾；3、切勿随意跳楼，自制救生绳索后再设法安全着落；4、利用自然条件作为救生滑道。,正确
打开易挥发或浓酸、浓碱试剂的瓶塞时，瓶口不要对着脸部或其他人，宜在通风橱中进行。,正确
"身上着火后,下列哪种灭火方法是错误的？",C
可以用水扑灭的火灾是下列哪种物质？,D
学校教学楼应配备的灭火器型号是（ ）,A
泡沫灭火器不能用于扑救 （ ）火灾。,C
火灾发生时，湿毛巾折叠8层为宜，其烟雾浓度消除率可达：,B
实验室进行装修时，以下哪种做法是不正确的（）,C
违反消防法的规定，生产、储存、运输、销售或者使用、销毁易燃易爆危险物品的，责令停止违法行为，可以处警告、罚款或者（）,A
单位应当落实逐级消防安全责任制和岗位消防安全责任制，明确逐级和岗位消防安全职责，确定各级、各岗位的（），并以文件形式公布,A
水能扑救（）火灾,D
公共聚集场所对员工的消防安全培训应当至少（）进行一次,C
关于定期防火检查的说法，下列不正确的是（）,D
容器中的溶剂或易燃化学品发生燃烧应如何处理？,A
金属梯子不适于以下什么工作场所? ,A
对常用的又是易制毒的试剂，应：,C
CO是什么味？,C
实验室内的浓酸、浓碱处理，一般可：,A
实验室人员发生触电时，下例哪种行为是不正确的？,B
在使用设备时，如果发现设备工作异常，怎么办？,A
在体育锻炼时或体育锻炼后即刻，立即测10秒钟的心率和脉搏，就一般体育锻炼者来说，运动后即刻的心率最好不要超过多少次/10秒？,B
身上着火，最好的做法是：,A
把玻璃管或温度计插入橡皮塞或软木塞时，常常会折断而使人受伤。下列不正确的操作方法是:,C
实验开始前应该做好哪些准备？,D
在使用化学药品前应做好的准备有：,D
下列加热热源，化学实验室原则不得使用的是：,A
静电的电量虽然不大，但其放电时产生的静电火花有可能引起爆炸和火灾，比较常见的是放电时瞬间的电流造成精密实验仪器损坏，不正确的预防措施有:,C
关于化学品的使用、管理，下列说法哪个是错误的？,B
以下药品受震或受热可能发生爆炸的是：,D
以下药品中，可以与水直接接触的是：,C
"在需要带电操作的低电压电路实验时，下列哪种是正确的？                        
",B
当酸或碱溅入眼睛时，不必采取应急处理，只要立即送附近医院救治。,错误
砷的解毒剂是二巯基丙醇，由肌肉注射即可解毒。,正确
汞剂、苯胺类、硝基苯等可通过皮肤或粘膜吸收而使人中毒。,正确
将醇液直接加入到室温以下的硫酸-硝酸的混酸中不会引起爆炸，而加入到未冷却的硫酸-硝酸的混酸中会引起爆炸。,错误
进入化学、化工、生物、医学类实验室，可以不穿实验服。,错误
不使用绝缘损坏或接地不良的电气设备。,正确
液体着火时，应用灭火器灭火，不能用水扑救或其 它物品扑打。,正确
碱灼伤后应立即用大量水洗，再以1%-2%硼酸液洗，最后用水洗。,正确
含碱性洗涤剂的水可以清洗掉水果蔬菜表面的农药。,正确
实验室气体钢瓶必须用铁链、钢瓶柜等固定，以防止倾倒引发安全事故。,正确
易燃、易爆气体和助燃气体（氧气等）的钢瓶不得混放在一起，并应远离热源和火源，保持通风。,正确
与工作无关的外来人员不得进入实验室。,正确
实验中溅入口中而尚未下咽的毒物，应立即吐出，并用大量水冲洗口腔。,正确
身边没有胶水胶棒时可以用口舔标签用以粘贴。,错误
针头、玻璃、一次性手术刀等利器应在使用后放在耐扎容器中，尖利物容器应在内容物达到三分之二前进行置换处置。,正确
实验室应配备相应的消防器材。参加实验人员要熟悉其存放位置及使用方法并掌握有关的灭火知识。,正确
在室外灭火时，应站在上风位置。,正确
实验室内出现火情逃到室外走廊时，要尽量做到随手关门，这样一来可阻挡火势随人运动而迅速蔓延，增加逃生的有效时间。 ,正确
在实验室允许口尝鉴定试剂和未知物。,错误
转速较低的离心机可以在工作时打开机盖观察。,错误
用活泼金属做除水实验，已观察不到金属的氧化反应，就可以将活泼金属丢弃。,错误
因运动量过度产生的酸疼，可以通过减量、休息、按摩、热敷等方法来帮助机体积极恢复。,正确
在火灾逃生方法中，以下不正确的是：,C
下列不具备消防监督检查资格的是（ ）。,B
交流电路断电后，内部的电容可能会：,D
电气设备起火时，应选用以下（）灭火器灭火,B
举办集会、焰火晚会、灯会等具有火灾危险的大型活动，（）应当在具备消防安全条件后，向公安消防机构申报对活动现场进行消防安全检查,A
在民用建筑中，火源安全管理的防火巡查要点，不包括下列哪一项（）,A
应当依照《治安管理处罚法》的规定处罚的消防违法行为有（）,D
学生宿舍突然停电时，下列做法正确的是（）,B
下列哪种灭火剂不可用来扑灭带电设备的火灾（）,D
家中使用电暖器等大功率电器时，以下哪种做法是正确的（）,B
眼睛被化学品灼伤后，首先采取的正确方法是：,B
购买剧毒药品说法错误的是：,C
实验室内        。,C
易燃液体加热时可以：,C
最早提出“在校学生每天平均要有一小时体育锻炼”的国家领导人是?,A
医学研究表明，心血管的发病率和心肌劳损的发生率均在什么时候最高，所以，为了避免这一“危险”时段，运动医学工作者认为，心血管病人的适宜锻炼时间应在下午,A
用剩的活泼金属残渣的正确处理方法是：,B
有些固体化学试剂（如硫化磷、赤磷、镁粉等）与氧化剂接触或在空气中受热、受冲击或磨擦能引起急剧燃烧，甚至爆炸。使用这些化学试剂时，要注意什么：,D
当有汞（水银）溅失时，应如何处理现场?,D
雷电由于瞬间的强大电流释放巨大能量，不仅会伤及人员，还会损坏设备，甚至引起火灾。请在下列选项中选择室内防止雷电灾害的最主要的一项措施。,A
下列那一项不是发生爆炸的基本因素？,C
下面哪些物质彼此混合时，不容易引起火灾？,B
下列物质无毒的是：,C
下面哪组溶剂不属易燃类液体？,B
金属钾、钠、锂、钙、电石等固体化学试剂，遇水即可发生激烈反应，并放出大量热，也可产生爆炸，它们应如何存放：,B
有机溶剂能穿过皮肤进入人体，应避免直接与皮肤接触。,正确
 误吸入煤气等有毒气体时，应立即在室外呼吸新鲜空气。,正确
误食了有毒化学品，要吃适量催吐剂尽快将其吐出来。,错误
液体表面的蒸汽与空气形成可燃气体，遇到火种时，发生一闪即灭的现象，可发生如此现象的最低温度称为闪点。,正确
重金属如铅、镉、汞等对人体有害。,正确
人体触电致死，是由于肝脏受到严重伤害。,错误
电路谐振时，电容的电压可以是电源电压的几倍。,正确
在实验室同时使用多种电气设备时，其总用电量和分线用电量均应小于设计容量。,正确
"在熟睡时，听到火警信号后正确的做法是：1、用手试一试门是否热，如是冷的，可开门逃生；2、准备好湿毛巾；3、切勿随意跳楼，自
制救生绳索后再设法安全着落；4、利用自然条件作为救生滑道。",正确
对剧毒品采取必要的保安措施，防止剧毒化学品被盗、丢失或者误售、误用；发现剧毒化学品被盗、丢失或者误售、误用时，必须立即向当地公安部门报告。,正确
不得在冰箱、烘箱等加热、产热设备附近放置纸板、化学试剂、气体钢瓶等物品。,正确
可以将无毒无害试剂当作有毒有害试剂处理。 ,错误
酚灼伤皮肤时，应立即脱掉被污染衣物，用10%酒精反复擦拭，再用大量清水冲洗，直至无酚味为止，然后用饱和硫酸钠湿敷。,正确
实施急救的顺序：若有呼吸心跳停止的，先行复苏，然后是止血、包扎、骨折固定或脱臼复位（固定）、搬运。 ,正确
实验中遇到严重割伤，可在伤口上部10cm处用沙布扎紧，减慢流血，并立即送医院。,正确
体育运动中的安全防范措施多种多样：进行器材锻炼时一定要有人保护；向前摔倒时顺势作前滚翻，不要用手撑地；向后摔倒时，让身体自然倒地，不要用手撑地，顺势作后滚翻。,正确
使用离心机时，当部分装载时，离心管可随意放在转头中而不用考虑平衡。,错误
冰箱内禁止存放危险化学物品，如果确需存放，则必须注意容器绝对密封，严防泄漏。,正确
玻璃器具在使用前要仔细检查，避免使用有裂痕的仪器。特别用于减压、加压或加热操作的场合，更要认真进行检查。,正确
任何单位（ ）都有参加组织的灭火工作的义务。,B
公安消防队救火（）,C
使用灭火器灭火时，要对准火焰的（）喷射,C
可燃助燃的腐蚀品的腐蚀性主要体现在三个方面，不包括下列那一个选项（）,C
化学品的安全标签警示词不包括（）,A
下列物质应避免与水接触以免发生危险的是：,C
能相互反应产生有毒气体的废液，应：,C
若某种废液倒入回收桶会发生危险，则应：,C
使用干燥箱和恒温箱，应注意的事项有：,D
各实验室在运送化学废弃物到各校区临时收集中转仓库之前，可以：,C
以下药品按毒性从大到小排序正确的是：,B
苯属于高毒类化学品，下列叙述正确的是：,D
电路实验中，下列哪种操作是错误的？,B
摩擦是产生静电的一种主要原因，尤其在干燥的环境中，人体的活动和物体的移动都会产生很强的静电。静电在突然释放的时会对人体或设备造成损伤，以下哪种是防止静电事故的主要办法。,A
实验室内可以堆放个人物品。,错误
大型仪器使用中，应注意仪器设备的接地、电磁辐射、网络等安全事项，避免事故发生。,正确
Hg中毒会引起失眠、多梦、抑郁、胸闷、心悸、多汗、恶心、牙龈出血。,正确
在使用硝化纤维、苦味酸、三硝基甲苯、三硝基苯等物质时，绝不能直接加热或撞击，还要注意周围不要有明火。,正确
NH4NO3受热后易分解，但放出的气体无害。,错误
用泡沫灭火剂扑灭油罐火灾时，如果火势很大，有时并不能将火完全扑灭，会发生闷燃引起爆炸。,正确
对于触电事故，应立即切断电源或用有绝缘性能的木棍棒挑开和隔绝电流，如果触电者的衣服干燥，又没有紧缠住身上，可以用一只手抓住他的衣服，拉离带电体；但救护人不得接触触电者的皮肤，也不能抓他的鞋。,正确
实验大楼出现火情时千万不要乘电梯，因为电梯可能因停电或失控，同时又因“烟囱效应”，电梯井常常成为浓烟的 流通道。,正确
节假日或假期在实验室做实验必须经导师批准，并报院系备案。,正确
当手、脚或身体沾湿或站在潮湿的地板上时，切勿启动电源开关和触摸电气用具。,正确
学生进入实验室首先要了解实验室的安全注意事项。,正确
遇到停电停水等情况，实验室人员必须检查电源和水源是否关闭，避免重新来电来水时发生相关安全事故。,正确
实验室钥匙的配发由实验室负责人管理，不得私自配置钥匙或借给他人使用。,正确
溅入口中已下咽的强碱，先饮用大量水，再服用乙酸果汁，鸡蛋清。,正确
不论误食酸或碱，都可以灌注牛奶，不要吃呕吐剂。,正确
扑救毒害性、腐蚀性或燃烧产物毒害性较强的火灾时，必须配戴防护面具。,正确
实验产生或剩余的易挥发物，可以倒入废液缸内。,错误
烧杯、烧瓶及试管等加热时比较安全。,错误
实验过程中长时间使用恒温水浴锅时，应注意及时加水，避免干烧发生危险。,正确
为安全起见，平时应将低沸点溶剂保存于普通冰箱内以降低溶剂蒸汽压。,错误
实验大楼出现火情时千万不要乘电梯，因为电梯可能因停电或失控，同时又因“烟囱效应”，电梯井常常成为浓烟的流通道。  ,正确
爆炸是指物质瞬间突然发生物理或化学变化，同时释放出大量的气体和能量（光能、热能、机械能）并伴有巨大声响的现象。,正确
安装使用漏电保护器，是属于哪种安全技术措施? ,A
公共场所安全出口的疏散门应（ ）。,B
储存可燃物资仓库的管理，必须执行国家有关（ ）,A
ABC干粉灭火器不能扑救( )火灾,A
在普通冰箱中不可以存放什么物品？,D
实验室钥匙不得私自配置或给他人使用。钥匙的配发、管理由谁负责？,A
实验室、办公室等用电场所如需增加电器设备，以下说法正确的是？,B
实验室存放化学品不得使用哪类冰箱？,A
实验室常用于皮肤或普通实验器械的消毒液有：,A
实验室电器设备所引起的火灾，应：,B
不慎发生意外，下列哪个操作是正确的？,D
取用化学药品时，以下哪些事项操作是正确的？,D
实验室冰箱和超低温冰箱使用注意事项错误的是：,D
以下什么物质引起的皮肤灼伤禁用水洗?,D
当不慎把少量浓硫酸滴在皮肤上(在皮肤上没形成挂液)时，正确的处理方法是：,D
实验人员都要注意防止被实验设备产生的X射线照射，下列能够产生X射线的仪器是：,A
下列关于混合物的描述错误的是：,D
下列何种物质贮存于空气中易发生爆炸？,A
任何电气设备在未验明无电之前，一律认为：,C
"因实验需要拉接电源线,下列哪种说法是正确的？",A
如果工作场所潮湿，为避免触电，使用手持电动工具的人应：,B
电气设备的外壳应有什么防护措施? ,B
"从消防观点来说,液体闪点就是可能引起火灾的最低温度。",正确
苯的爆炸极限是：1.4％～7.1％。,正确
电源插座、接线板、电线的容量应满足电器功率的需要。,正确
使用手提灭火器时，拨掉保险销，握住胶管前端， 对准燃烧物根部用力压下压把，灭火剂喷出，左右扫射，就可灭火。,正确
毒物在科研生产中以气体、蒸气、烟、尘、雾等形态存在，其中气体、蒸气为分子状态，可直接进入人体肺泡。,正确
当有人发生触电事故时，应马上直接将其拉开。,错误
及时淘汰老化、性能不稳又具有安全隐患的仪器设备（如冰箱10年以上，烘箱12年以上）。,正确
轻度铅中毒症状为头晕、头痛、失眠、无力、腹痛、腹胀、便秘等。,正确
女生月经期间，可以参加适当的体育活动，如慢跑，打乒乓球、羽毛球、排球，舞蹈等运动负荷不大的活动。,正确
踝关节韧带扭伤以后立即冷敷，加压包扎固定。,正确
液体着火时，应用灭火器灭火，不能用水扑救或其它物品扑打。,正确
火灾发生后，当所有的逃生线路被大火封锁时，应立即退回室内，用手电筒、挥舞衣物、呼叫等方式向窗外发送求救信号，等待救援。,正确
实验大楼因出现火情发生浓烟时应迅速离开，当浓烟已穿入实验室内时，要沿地面匍匐前进，因地面层新鲜空气较多，不易中毒而窒息，有利于逃生。当逃到门口时，千万不要站立开门，以避免被大量浓烟熏倒。 ,正确
被困在电梯中应尽快扒开门脱险。,错误
给液体加热时，可以先开始加热，等接近沸腾时再加入沸石。,错误
危险化学品，包括爆炸品、压缩气体和液化气体、易燃液体、易燃固体、自燃物品和遇湿易燃物品、氧化剂和有机过氧化物、有毒品和腐蚀品等。 ,正确
氢氟酸灼伤皮肤后，先立即脱光去污染的衣物，用大量流动清水彻底冲洗后，继用肥皂水或2%～5%碳酸氢钠冲洗，再用葡萄糖酸钙软膏涂敷按摩，然后再涂以33%氧化镁甘油糊剂、维生素AD或可的松软膏等。,正确
疏散楼梯和楼梯间、疏散走道、安全出口的每日巡查，下列说法错误的是（）,D
下列关于身上着火的处置方法，错误的一种是（）,B
电线插座损坏时，既不美观也不方便工作，并造成： ,D
生产、经营、储存、运输、使用危险化学品和处置废弃危险化学品的单位，其（ ）必须保证本单位危险化学品的安全管理符合有关法律、法规、规章的规定和国家标准，并对本单位危险化学品的安全负责。,A
废弃的有害固体药品，应：,C
具有下列哪些性质的化学品属于化学危险品：,D
采取适当的措施，使燃烧因缺乏或隔绝氧气而熄灭，这种方法称作:,A
用过的废洗液应如何处理？,B
以下几种气体中，有毒的气体为：,C
燃点越低的物品越安全。,错误
对于一些吸入或食入少量即能中毒至死的化学试剂，生物试验中致死量（LD50）在50mg/kg以下的称为剧毒化学试剂。,正确
氢气的爆炸极限是：4％～75％。,正确
氮的氧化物、二氧化硫、三氧化硫、挥发性酸类、氨水对皮肤粘膜和眼、鼻、喉粘膜都有很强的刺激性。,正确
水浴加热的上限温度是100℃，油浴加热的上限温度是200℃，用硅油作介质时可加热到300℃。,错误
要加强实验室排污处理装置（系统）的建设和管理，做到达标排放。实验废弃物不得倒入自来水下水道或普通垃圾箱等处。,正确
仪器设备发生故障后，必须及时报告管理人员，并详细登记。,正确
实验室发生非火灾类事故，应立即报告单位负责人和学校保卫处，设立警戒区并撤离无关人员，以减轻潜在危害。,正确
实验中遇到一般烫伤和烧伤，不要弄破水泡，在伤口处用95%的酒精轻涂伤口，涂上烫伤膏或涂一层凡士林油，再用纱布包扎。  ,正确
实验室人员发生触电时，应迅速切断电源，将触电者上衣解开，取出口中异物，然后进性人工呼吸。当患者恢复呼吸时，应立即送医院。  ,正确
接触化学危险品、剧毒以及致病微生物等的仪器设备和器皿，必须有明确醒目的标记。使用后及时清洁，特别是维修保养或移至到其他场地前，必须进行彻底的净化。,正确
发生病原微生物被盗、被抢、丢失、泄漏，承运单位、护送人、保藏机构和实验室的设立单位未依照中华人民共和国卫生部《病原微生物实验室生物安全管理条例》的规定报告，造成传染病传播、流行或者其他严重后果的，由实验室的设立单位或者承运单位、保藏机构的上级主管部门对主要负责人、直接负责的主管人员和其他直接责任人员，依法给予撤职、开除的处分；构成犯罪的，依法追究刑事责任。,正确
对酸痛的肌肉冷敷有助于损伤组织的修复及痉挛的缓解。,错误
实验室一旦发生起火，不要惊慌失措，应利用消防器材，采取有效措施控制、扑灭火灾。,正确
可以将氯气与氨气混放在一个房间。,错误
取用强碱性试剂后的小勺应擦净后存放。,错误
使用强氧化剂时环境温度不宜过高，通风应良好，并不要与有机物或还原性物质共同使用。,正确
对产生有毒气体的实验应在通风橱内进行。通过排风设备将毒气排到室外，以免污染室内空气。,错误
生物废弃物应置于专用的、有标记的容器内。,正确
误服强酸导致消化道烧灼痛，为防止进一步加重损伤，不能催吐，可口服牛奶、鸡蛋清、植物油等。 ,正确
"冷凝冷却系统上连接用的橡胶管必须定期检查更换,避免管子老化而引起漏水事故的发生。",正确
危险化学品用完后就可以将安全标签撕下。,错误
使用灭火器扑救火灾时要对准火焰的什么部位喷射。,C
静电电压最高可达?(?)?，放电时易产生静电火花，引起火灾。,B
实验室内的汞蒸气会造成人员慢性中毒，为了减少汞液面的蒸发，可在汞液面上覆盖什么液体，效果最好？,B
对实验室安全检查的重点是：,D
下列选项中属于防爆的措施有：,D
以下哪个药品（试剂）在使用时不用注意干燥防潮？,D
领取剧毒物品时，必须：）,A
为了防止在开启或关闭玻璃容器时发生危险，下列哪一种瓶塞不适宜作为盛放具有爆炸危险性物质的玻璃容器的瓶塞？,B
"2,4-二硝基苯甲醚、萘、二硝基萘等可升华固体药品燃烧应如何进行灭火：",D
可以单独使用剧毒物品。,错误
眼部碱灼伤时，应立即用大量清水或生理盐水进行彻底冲洗，冲洗时必须将上下眼睑拉开，水不要流经未伤的眼睛，不可直接冲击眼球，然后可用2%～3%硼酸溶液进一步冲洗。,正确
触电事故是因电流流过人体而造成的。,正确
实验大楼因出现火情发生浓烟时应迅速离开，当浓烟已穿入实验室内时，要沿地面匍匐前进，因地面层新鲜空气较多，不易中毒而窒息，有利于逃生。当逃到门口时，千万不要站立开门，以避免被大量浓烟熏倒。,正确
实验室不得乱拉电线，套接接线板。,正确
CO急性中毒应立即吸氧，以缓解机体缺氧、排出毒物。,正确
干粉灭火剂是扑救精密仪器火灾的最佳选择。,错误
乙炔的爆炸极限是：2.2％～81％。 ,正确
因处理废液费用很高，应将无毒无害试剂与有毒有害试剂分开处理，例如稀HAc、H2SO4、HCL、NaOH、KOH等溶液可进行中和处理。,正确
凡进行有危险性的实验，应先检查防护措施，确证防护妥当后，才可进行实验。,正确
实验室内应使用空气开关并配备必要的漏电保护器；电气设备应配备足够的用电功率和电线，不得超负荷用电；电气设备和大型仪器须接地良好，对电线老化等隐患要定期检查并及时排除。,正确
红外灯、紫外灯不得安装在木柜或纸箱中使用。,正确
实验中遇到一般割伤，应立即取出伤口内的异物，保持伤口干净，并用酒精棉清除伤口周围的污物，涂上外伤膏或消炎粉。 ,正确
电线接头裸露部分可用医用胶布等包裹绝缘。,错误
存有易燃易爆物品的实验室禁止使用明火，如需加热可使用封闭式电炉、加热套或可加热磁力搅拌器。,正确
有毒化学药品溅在皮肤上时，可用乙醇等有机溶剂擦洗。,错误
汞、苯、铬酸盐和氰化物属于对人体具有极度危害的物质。,正确
不能将实验室易燃易爆物品带出实验室。,正确
只要不影响实验，可以在实验室洁净区域铺床睡觉。,错误
实验室冰箱内不得混放容易产生放热反应的化学品。,正确
高校实验室科研教学活动中产生和排放的废气、废液、固体废物、噪声、放射性等污染物，应按环境保护行政主管部门的要求进行申报登记、收集、运输和处置。严禁把废气、废液、废渣和废弃化学品等污染物直接向外界排放。  ,正确
各学院每季度组织有关人员对实验室进行安全与卫生管理的例行检查，记录检查情况，提出存在的问题并限时整改。每次检查结束后须将检查结果形成报告，上报实验室处。 ,正确
电路或电器着火时，使用二氧化碳灭火器灭火。,正确
护送病人时，应取掉口中异物，采用平卧位，头部稍低，保持呼吸畅通。,正确
实验过程中如发生事故，应冷静妥善地处理，尽量把事故解决在萌芽状态。如较为严重，有危及人身安全可能时，应及时撤离现场，并通知邻近实验室工作人员迅速撤离，尽快报警。,正确
做实验时要爱护实验设备，同时注意自身的安全，避免发生事故。,正确
如发现水泵漏水，可以不用切断电源，待实验完毕后再报修。,错误
正在进行实验时，可带着防护手套接听电话。,错误
